allocator,vol_in,vol_true,vol_out,optimism_pct,luck_pct,drift_pct,dist_to_oracle,max_weight,short_weight,n_effective,seed
Equal weight,0.1448,0.153,0.1612,5.6357,5.383,11.322,1.7633,0.05,0.0,20.0,20260952
HRP (single),0.1547,0.1451,0.148,-6.1847,2.0008,-4.3076,1.3616,0.0839,0.0,18.0632,20260953
HRP (ward),0.1545,0.1451,0.1484,-6.0802,2.2639,-3.954,1.3885,0.0839,0.0,18.2081,20260953
MinVar,0.1247,0.1349,0.1379,8.1744,2.2264,10.5829,1.2071,0.45,-0.6305,2.1979,20260953
MinVar long-only,0.1364,0.1304,0.1361,-4.4307,4.3522,-0.2714,0.933,0.276,0.0,6.7957,20260953
MinVar shrunk 0.3,0.1327,0.1299,0.1352,-2.0946,4.0372,1.858,0.8797,0.2505,-0.1043,6.9381,20260953
Equal weight,0.1594,0.1489,0.1528,-6.593,2.6467,-4.1209,1.5611,0.05,0.0,20.0,20260953
HRP (single),0.1578,0.1525,0.1463,-3.3612,-4.0964,-7.32,1.4628,0.0827,0.0,18.5424,20260954
HRP (ward),0.157,0.152,0.1457,-3.1826,-4.1535,-7.2039,1.5026,0.0669,0.0,18.9104,20260954
MinVar,0.1323,0.1504,0.1476,13.7191,-1.865,11.5983,1.289,0.2729,-0.5423,3.0192,20260954
MinVar long-only,0.1433,0.1396,0.132,-2.5304,-5.4985,-7.8897,0.9075,0.1769,0.0,8.4804,20260954
MinVar shrunk 0.3,0.1398,0.1412,0.1355,0.9517,-4.0467,-3.1335,1.0594,0.1689,-0.0718,8.7052,20260954
Equal weight,0.1602,0.1521,0.1449,-5.0361,-4.7411,-9.5384,1.5173,0.05,0.0,20.0,20260954
HRP (single),0.1502,0.1416,0.1387,-5.7469,-2.0404,-7.67,1.3037,0.1241,0.0,15.9884,20260955
HRP (ward),0.1519,0.1425,0.1393,-6.1915,-2.2595,-8.3111,1.3328,0.1215,0.0,16.1642,20260955
MinVar,0.1231,0.1377,0.1362,11.7988,-1.078,10.5935,1.2079,0.4148,-0.432,2.9952,20260955
MinVar long-only,0.1346,0.1347,0.133,0.0984,-1.2685,-1.1714,0.9071,0.2897,0.0,6.8102,20260955
MinVar shrunk 0.3,0.1283,0.1341,0.132,4.5304,-1.5476,2.9126,0.8538,0.2868,-0.1391,6.1328,20260955
Equal weight,0.1648,0.1495,0.1466,-9.2967,-1.8953,-11.0158,1.5806,0.05,0.0,20.0,20260955
HRP (single),0.1366,0.1382,0.1358,1.1942,-1.7214,-0.5478,1.0567,0.1032,0.0,17.664,20260956
HRP (ward),0.1378,0.1387,0.1362,0.6329,-1.8268,-1.2055,1.1672,0.0868,0.0,18.2011,20260956
MinVar,0.1129,0.1372,0.1354,21.5635,-1.3128,19.9676,1.0986,0.2504,-0.5311,3.4248,20260956
MinVar long-only,0.1239,0.1335,0.1313,7.7599,-1.6411,5.9915,0.8883,0.1636,0.0,10.0874,20260956
MinVar shrunk 0.3,0.1186,0.1316,0.1297,11.0007,-1.4155,9.4295,0.7862,0.1513,-0.1376,8.3101,20260956
Equal weight,0.1412,0.1413,0.1396,0.1132,-1.2155,-1.1037,1.2101,0.05,0.0,20.0,20260956
HRP (single),0.131,0.1402,0.1361,7.0177,-2.9514,3.8592,1.3898,0.1111,0.0,16.4889,20260957
HRP (ward),0.1365,0.1449,0.1402,6.1821,-3.2323,2.7499,1.5635,0.0965,0.0,17.836,20260957
MinVar,0.1102,0.1328,0.1291,20.4289,-2.7365,17.1333,0.8174,0.2967,-0.4943,2.8976,20260957
MinVar long-only,0.1282,0.1338,0.1289,4.3613,-3.6646,0.5369,1.0564,0.1985,0.0,9.3648,20260957
MinVar shrunk 0.3,0.1163,0.1335,0.1299,14.7867,-2.6892,11.6998,1.0037,0.1476,-0.144,8.7757,20260957
Equal weight,0.1406,0.1455,0.1418,3.4551,-2.493,0.876,1.5531,0.05,0.0,20.0,20260957
